S;I;R;S->I;I->R;I->S;R->S;a;b;c;e;R0
154738;917;4345;480;336;114;440;0.000003;0.366412;0.078767;0.101266;1.215795
154812;947;4241;455;374;111;417;0.000003;0.394931;0.070921;0.098326;1.065928
154885;917;4198;475;360;117;420;0.000003;0.392585;0.077500;0.100048;1.138306
154947;915;4138;474;367;121;407;0.000003;0.401093;0.079200;0.098357;1.113751
155001;901;4098;501;342;97;397;0.000004;0.379578;0.066793;0.096877;1.285884
154994;963;4043;516;390;123;437;0.000003;0.404984;0.075999;0.108088;1.150002
155038;966;3996;511;423;106;410;0.000003;0.437888;0.061681;0.102603;1.092773
155043;948;4009;521;382;112;423;0.000004;0.402954;0.070537;0.105513;1.197804
155057;975;3968;458;377;117;398;0.000003;0.386667;0.073600;0.100302;1.053125
155114;939;3947;528;390;116;356;0.000004;0.415335;0.072227;0.090195;1.189617
155058;961;3981;510;396;122;407;0.000003;0.412071;0.074638;0.102236;1.125131
155077;953;3970;512;380;106;445;0.000003;0.398741;0.066877;0.112091;1.190475
155116;979;3905;526;408;113;374;0.000003;0.416752;0.067321;0.095775;1.144869
155077;984;3939;505;362;116;374;0.000003;0.367886;0.074517;0.094948;1.196879
155062;1011;3927;564;363;121;387;0.000004;0.359050;0.076711;0.098549;1.320972
155006;1091;3903;504;434;131;381;0.000003;0.397800;0.072308;0.097617;1.014330
155014;1030;3956;526;431;131;410;0.000003;0.418447;0.073965;0.103640;1.070458
155029;994;3977;487;403;137;390;0.000003;0.405433;0.081947;0.098064;1.037485
155069;941;3990;501;374;136;424;0.000003;0.397450;0.087085;0.106266;1.133753
155128;932;3940;455;374;118;409;0.000003;0.401288;0.075803;0.103807;1.055419
155200;895;3905;459;374;103;407;0.000003;0.417877;0.066993;0.104225;1.090417
155251;877;3872;475;353;97;402;0.000003;0.402509;0.066085;0.103822;1.191196
155275;902;3823;498;364;111;369;0.000004;0.403548;0.073399;0.096521;1.192810
155257;925;3818;422;367;101;376;0.000003;0.396757;0.065868;0.098481;1.016274
